[0.000000] (-) TimerEvent: {}
[0.000298] (-) JobUnselected: {'identifier': 'champ'}
[0.000325] (-) JobUnselected: {'identifier': 'champ_base'}
[0.000343] (-) JobUnselected: {'identifier': 'champ_bringup'}
[0.000358] (-) JobUnselected: {'identifier': 'champ_config'}
[0.000373] (-) JobUnselected: {'identifier': 'champ_description'}
[0.000388] (-) JobUnselected: {'identifier': 'champ_gazebo'}
[0.000403] (-) JobUnselected: {'identifier': 'champ_msgs'}
[0.000417] (-) JobUnselected: {'identifier': 'champ_navigation'}
[0.000432] (-) JobUnselected: {'identifier': 'champ_teleop'}
[0.000446] (-) JobUnselected: {'identifier': 'gazebo_ros2_control_demos'}
[0.000460] (-) JobUnselected: {'identifier': 'ros2_control_demo_description'}
[0.000474] (-) JobUnselected: {'identifier': 'ros2_control_demo_example_1'}
[0.000488] (-) JobUnselected: {'identifier': 'ros2_control_demo_example_10'}
[0.000503] (-) JobUnselected: {'identifier': 'ros2_control_demo_example_11'}
[0.000516] (-) JobUnselected: {'identifier': 'ros2_control_demo_example_12'}
[0.000530] (-) JobUnselected: {'identifier': 'ros2_control_demo_example_14'}
[0.000544] (-) JobUnselected: {'identifier': 'ros2_control_demo_example_15'}
[0.000558] (-) JobUnselected: {'identifier': 'ros2_control_demo_example_2'}
[0.000572] (-) JobUnselected: {'identifier': 'ros2_control_demo_example_3'}
[0.000586] (-) JobUnselected: {'identifier': 'ros2_control_demo_example_4'}
[0.000600] (-) JobUnselected: {'identifier': 'ros2_control_demo_example_5'}
[0.000614] (-) JobUnselected: {'identifier': 'ros2_control_demo_example_6'}
[0.000627] (-) JobUnselected: {'identifier': 'ros2_control_demo_example_7'}
[0.000641] (-) JobUnselected: {'identifier': 'ros2_control_demo_example_8'}
[0.000655] (-) JobUnselected: {'identifier': 'ros2_control_demo_example_9'}
[0.000668] (-) JobUnselected: {'identifier': 'ros2_control_demo_testing'}
[0.000682] (-) JobUnselected: {'identifier': 'ros2_control_demos'}
[0.000696] (-) JobUnselected: {'identifier': 'simple_sim'}
[0.000710] (-) EventReactorShutdown: {}
