[0.000000] (-) TimerEvent: {}
[0.000113] (-) JobUnselected: {'identifier': 'champ'}
[0.000137] (-) JobUnselected: {'identifier': 'champ_base'}
[0.000156] (-) JobUnselected: {'identifier': 'champ_bringup'}
[0.000173] (-) JobUnselected: {'identifier': 'champ_config'}
[0.000189] (-) JobUnselected: {'identifier': 'champ_description'}
[0.000205] (-) JobUnselected: {'identifier': 'champ_gazebo'}
[0.000220] (-) JobUnselected: {'identifier': 'champ_msgs'}
[0.000236] (-) JobUnselected: {'identifier': 'champ_navigation'}
[0.000251] (-) JobUnselected: {'identifier': 'champ_teleop'}
[0.000266] (-) JobUnselected: {'identifier': 'gazebo_ros2_control_demos'}
[0.000282] (-) JobUnselected: {'identifier': 'ros2_control_demo_description'}
[0.000297] (-) JobUnselected: {'identifier': 'ros2_control_demo_example_1'}
[0.000312] (-) JobUnselected: {'identifier': 'ros2_control_demo_example_10'}
[0.000327] (-) JobUnselected: {'identifier': 'ros2_control_demo_example_11'}
[0.000342] (-) JobUnselected: {'identifier': 'ros2_control_demo_example_12'}
[0.000357] (-) JobUnselected: {'identifier': 'ros2_control_demo_example_14'}
[0.000372] (-) JobUnselected: {'identifier': 'ros2_control_demo_example_15'}
[0.000387] (-) JobUnselected: {'identifier': 'ros2_control_demo_example_2'}
[0.000402] (-) JobUnselected: {'identifier': 'ros2_control_demo_example_3'}
[0.000417] (-) JobUnselected: {'identifier': 'ros2_control_demo_example_4'}
[0.000432] (-) JobUnselected: {'identifier': 'ros2_control_demo_example_5'}
[0.000447] (-) JobUnselected: {'identifier': 'ros2_control_demo_example_6'}
[0.000461] (-) JobUnselected: {'identifier': 'ros2_control_demo_example_7'}
[0.000476] (-) JobUnselected: {'identifier': 'ros2_control_demo_example_8'}
[0.000491] (-) JobUnselected: {'identifier': 'ros2_control_demo_example_9'}
[0.000506] (-) JobUnselected: {'identifier': 'ros2_control_demo_testing'}
[0.000520] (-) JobUnselected: {'identifier': 'ros2_control_demos'}
[0.000535] (-) JobUnselected: {'identifier': 'simple_sim'}
[0.000551] (-) EventReactorShutdown: {}
